1999ab,II,IAUC7109,SN99,0.081,EROS,?,?,?,?,?,?,?,?,0.050,?,NED,?,?,?,?,?,?,?,?,?
1999ac,1.2411546,LifanWang,LifanWang & Matheson2008,0.00982,NEDhost,14.08,0.09,XWang2006,14.28,0,Jha2006,0.030183695,Scd,0.199,0.046,NED,0.12,0.06,XWang2006,0.000027,0.206,0.064,0.029,0.024,Arsenijevic2011
1999ad,AGN,0.081,SN99,?,?,?,?,?,?,?,?,?,?,0.140,?,NED,?,?,?,?,?,?,?,?,?
1999ae,?,?,SN99,0.076,EROS,?,?,?,?,?,?,?,?,0.134,?,NED,?,?,?,?,?,?,?,?,?
1999af,?,?,SN99,0.97,EROS,?,?,?,?,?,?,?,?,0.125,?,NED,?,?,?,?,?,?,?,?,?
1999ai,II,EROS,SN99,?,?,?,?,?,?,?,?,?,?,0.214,?,NED,?,?,?,?,?,?,?,?,?
1999ak,?,?,SN99,0.055,IAUC7118,?,?,?,?,?,?,?,?,0.213,?,NED,?,?,?,?,?,?,?,?,?
1999ao,?,?,SN99,0.055,IAUC7123,?,?,?,?,?,?,?,?,0.281,?,NED,?,?,?,?,?,?,?,?,?
1999ar,?,?,SN99,0.15,XXX,?,?,?,?,?,?,?,?,0.133,?,NED,?,?,?,?,?,?,?,?,?
1999as,Ib/c,NugentTalk,SN99,?,?,?,?,?,?,?,?,?,?,0.135,?,NED,?,?,?,?,?,?,?,?,?
1999au,?,?,SN99,0.124,IAUC7130,?,?,?,?,?,?,?,?,0.136,?,NED,?,?,?,?,?,?,?,?,?
1999av,?,?,SN99,0.05,IAUC7130,?,?,?,?,?,?,?,?,0.134,?,NED,?,?,?,?,?,?,?,?,?
1999aw,0.814,LifanWang,SN99,0.03924,LifanWang2006,16.72,0.07,XWang2006,16.745,0.019,LifanWang2006,0.0058787444,?,0.140,0.032,NED,0.02,0.05,XWang2006,0.000087,2.064,0.186,-0.011,0.017,Hicken2009
1999ax,II,IAUC7130,SN99,0.181,IAUC7130,?,?,?,?,?,?,?,?,0.076,?,NED,?,?,?,?,?,?,?,?,?
1999ay,II,IAUC7357,SN99,0.151,IAUC7130,?,?,?,?,?,?,?,?,0.047,?,NED,?,?,?,?,?,?,?,?,?
1999be,?,?,SN99,?,?,?,?,?,?,?,?,?,?,0.203,?,NED,?,?,?,?,?,?,?,?,?
1999bf,?,?,SN99,?,?,?,?,?,?,?,?,?,?,0.095,?,NED,?,?,?,?,?,?,?,?,?
1999bh,?,?,SN99,?,?,?,?,?,?,?,?,?,?,0.063,?,NED,?,?,?,?,?,?,?,?,?
1999bi,?,?,SN99,0.124,IAUC7136,?,?,?,?,?,?,?,?,0.115,?,NED,?,?,?,?,?,?,?,?,?
1999bk,?,?,SN99,0.096,IAUC7136,?,?,?,?,?,?,?,?,0.118,?,NED,?,?,?,?,?,?,?,?,?
1999bl,?,?,SN99,0.3,IAUC7136,?,?,?,?,?,?,?,?,0.185,?,NED,?,?,?,?,?,?,?,?,?
1999bm,1.3208896,LifanWang,SN99,0.15,LifanWang,20.43,0.04,Kowalski2008,?,?,?,0.086,?,0.105,0.024,NED,?,?,?,?,?,?,?,?,?
1999bn,?,?,SN99,0.12,IAUC7136,?,?,?,?,?,?,?,?,0.255,?,NED,?,?,?,?,?,?,?,?,?
1999bo,?,?,SN99,0.13,IAUC7136,?,?,?,?,?,?,?,?,0.170,?,NED,?,?,?,?,?,?,?,?,?
1999bp,?,?,SN99,0.077,IAUC7136,?,?,?,?,?,?,?,?,0.145,?,NED,?,?,?,?,?,?,?,?,?
1999bq,?,?,SN99,0.149,IAUC7136,?,?,?,?,?,?,?,?,0.184,?,NED,?,?,?,?,?,?,?,?,?
1999by,1.7957625,LifanWang,LifanWang,0.00270,NEDhost,13.59,0.07,XWang2006,13.21,0.02,Jha2006,0.0079568242,SA(r)b,0.070,0.016,NED,0.00,0.03,XWang2006,0.000040,-1.444,0.063,0.360,0.025,Arsenijevic2011
1999cc,1.5669094,LifanWang,Matheson2008,0.03153,NEDhost,16.77,0.10,XWang2006,16.85,0,Jha2006,0.10223312,Sc,0.097,0.023,NED,0.06,0.06,XWang2009,0.000077,-1.891,0.175,0.057,0.012,Blondin2010
1999cl,1.2430677,LifanWang,Matheson2008,0.00869,NEDhost,14.86,0.12,XWang2006,13.902,0.009,Jha2006,0.043269419,SA(rs)b,0.164,0.038,NED,1.23,0.06,XWang2009,0.000077,-0.753,0.167,0.984,0.027,Arsenijevic2011
